hotel,star,review,real_date
전주 중화산동 Q (Jeonju Junghwasan-dong Q),8.4,사람이많아지고 뭔가 덜청결해지고 좀 부산해진느낌주인분은친절하고조아요,20220821
전주 신시가지 오스카 (Jeonju Sinsigaji Oscar),4.4,담배낸새가 넘 많이나여,20230123
전주 신시가지 오스카 (Jeonju Sinsigaji Oscar),6.8,생각보다 깔끔합니다 단지 난방이 없고 전기장판으로 버텨야합니다     아참   불을 다꺼도 예민하신분은 잠을 절대 못자는 불빛이 침대한가운데 첮장에서 침대 머리쪽으로 빛을 쏘고 있습니다 ,20230111
전주 중화산동 알프스 (Jeonju Junghwadong Alps),8.0,괜찮아요   ,20230601
전주 중화산동 알프스 (Jeonju Junghwadong Alps),6.0,방음이 잘 안되서 아쉬웠어요,20230529
전주 중화산동 알프스 (Jeonju Junghwadong Alps),8.0,잘 쉬다 갑니다,20230526
전주 중화산동 알프스 (Jeonju Junghwadong Alps),6.0,옛날 여관느낌 ,20230513
전주 중화산동 알프스 (Jeonju Junghwadong Alps),8.0,저렴한가격으로 조은시설 누리고 왔네요 ,20230430
전주 중화산동 알프스 (Jeonju Junghwadong Alps),10.0,늦게 도착했는데 사장님친절,20230426
전주 중화산동 알프스 (Jeonju Junghwadong Alps),8.0,싼 가격에 잠만 자기에는 좋아요   가자마자 담배냄세 심해서 방 바꿔달라니 바로 바꿔주셨어요   거기도 살짝 나기는 했지만 그래도 괜찮았어요   좋은 곳을 원한다면 다른 곳을 가시고 잠만 저렴한 가격에 자기는 좋아요   청결은 쪼끔       안좋지만 가격에 비하면 체크인시간 체크아웃시간 다 넉넉해서 좋았어요 ,20230425
전주 중화산동 알프스 (Jeonju Junghwadong Alps),10.0,가성비원탑   ,20230326
전주 중화산동 알프스 (Jeonju Junghwadong Alps),10.0,가격대비 방이 완전넓어요   ,20230319
전주 산정동 짬 (Jeonju Sanjeongdong Zzam),7.6,숙소가 크고 깨그해서 좋았지만 화장실과샤워부스문이 보이는 유리문이라 약간 민망할수있어요 ,20230527
전주 산정동 짬 (Jeonju Sanjeongdong Zzam),4.8,바닥에 체모와 세면대가 없고 변기와 샤워실이 따로 있던 게 영 불편함,20230506
전주 산정동 짬 (Jeonju Sanjeongdong Zzam),5.6,가격 대비 지내고 갈만합니다   담배냄새만 감수하시면 됩니다 ,20230504
전주 산정동 짬 (Jeonju Sanjeongdong Zzam),7.2,세면대가 없어서 너무 불편했어요후기보고 세면대 없어도 샤워할때 씻자했는데 막상 없으니까 너무 불편했어요 그리고 방에 쓰레기통좀 놔주세요방은 진짜 넓고 깔끔해요   모텔 특유의 촌스러운 인테리어 아니어서 좋았어요 ,20230407
전주 산정동 짬 (Jeonju Sanjeongdong Zzam),3.2,방음이 도 안되요 위 옆 아래에서 걷는소리 까지 다 나요,20230406
전주 산정동 짬 (Jeonju Sanjeongdong Zzam),3.2,밤새도록 잠 설쳤어요   천장에서 고양인지 쥐인지 계속 돌아다니고 긁는 소리를 냈어요   옷걸이로 천장을 한번 치면 시간정도 조용하다가 또 소리를 내요   미쳐버리는줄 알았어요  쥐라고 생각하니 너무 소름끼쳤어요 ,20230209
전주 산정동 짬 (Jeonju Sanjeongdong Zzam),8.8,방이 넓어요   화장실도 크구요   근데 사진처럼 완전 리모델링해서 얼마안된거 같은 느낌은 아닙니다   친구와 함께 숙박했는데 평수가 넓어서 답답한 느낌은 없었어요,20230114
전주 금암동 투헤븐 (Jeonju Two Heaven Hotel),6.0,방이 전반적으로 깔끔해서 마음에 들었는데   방음이 너무 안되어서 힘들었어요 ,20220522
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),6.0,번 이용했는데 번 다 담배냄새 때문에 불쾌했어요 ,20230511
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),9.6,당일에 급하게 예약했는데 좋았어요 편하게 잘 잤습니다 ,20230510
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),10.0,가격이 저렴해서 걱정했는데 실제 가보니 좋아서 깜짝 놀랐어요 전주갈때마다 자주 이용할거 같아요    ,20230506
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),2.4,후기이 좋다 해서 다른 곳보다 비싼 곳을 선택했는데요   왜 선택했는지 의문이 가는 곳이네요   아깝다 생각이 들었습니다   아쉬움이 많이 남는 곳이었습니다   이 가격이면 다른 곳으로 ,20230424
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),10.0,조용하고 한족함,20230223
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),9.6,좋아요,20230111
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),9.6,여행 코스를 남쪽으로 정해서 여수  남해  통영  그리고 전주마지막 전주에의 하루밤은 정말 피로가 가실 정도로 넘 좋았어요모텔 주변이라 걱정을 많이 하고 들아갔는데 깔끔하고 깨끗  방도 생각했던것보다 크고 테이블에 컴퓨터 마지막 스파는 운전과 여행에 일동안 지친 나의 몸을 풀아주기에 충분했습니다 침대엔 라텍스로 살짝 추워진 몸을 노곤하게 풀어줄 보온      꿀잠까지다음에 전주에 가면 다시 갈려구요강추합니다 가격대비 너무 훌륭했어요주변에 덕진공원도 있어서 좋아요,20221003
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),8.0,좋았어요   단지 화장품이 없는 것이 아쉬웠어요 ,20220922
전주 덕진동 호텔 스마일(HOTEL SMILE) (Jeonju Deokjindong Hotel Smile),2.8,바닥이나 가구 전체적 먼지나 이물질   머리카락 등 더러움시설 스파욕조 깨짐시설 스타일러 더러움,20220709
전주 중앙동 라온 호텔 (Jeonju Jungang Raon Hotel),7.2,위치는 시내랑 가까워서 매우 좋았고 편했습니다   방도 넓고 화장실이랑 샤워실이 분리된 점도 좋았는데  난방이 정말 안돼서 추웠네요  그 점이 아쉽습니다,20221123
전주 중앙동 라온 호텔 (Jeonju Jungang Raon Hotel),7.2,시내에서 가깝고 조용한 위치에비교적 아늑한 실내욕조가 있는 넓은 화장실고데기있어서 좋았습니다,20220825
전주 중앙동 라온 호텔 (Jeonju Jungang Raon Hotel),8.4,남부시장  객사  한옥마을 등등 도보로 갈수있을 만큼 가까워요   방 크기도 넓고 좋은데 청소상태는 엄청 좋다고 할수가 없어요   화장실에 얼룩이나 세면대에 곰팡이가 엄청 근데 저렴한 가격에 위치에 전체적으로 봤을 땐 괜찮았어요 ,20220816
전주 중앙동 라온 호텔 (Jeonju Jungang Raon Hotel),10.0,위치도좋았고청결했어요,20220224
전주 중앙동 라온 호텔 (Jeonju Jungang Raon Hotel),2.0,직원때문에 마음에 안들고 연박했는데 여기가지마세요 청소 하지말라그랚는데 와서 칫솔 다치으고 다시 넣어두지도 않고 사장은 왜 항상 그런식으로 하고 마스크도 안끼는지 모르게네요,20210621
전주 중앙동 라온 호텔 (Jeonju Jungang Raon Hotel),5.2,욕실은 크고 좋았습니다  침구류도 푹신합니다  거리도 여행지랑 가까운편입니다   한옥마을까지 도보분정도  지금은 여름이라 난방은 프론트에 부탁해야해요  응대해주시는 분 귀차니즘 너무 심해요,20210526
전주 금암동 필 (Jeonju Geumam-dong Feel),2.0,아고다방과 다른 방이 예약되며 숙소에서 바꿔주지않음 ,20230415
전주 금암동 필 (Jeonju Geumam-dong Feel),9.2,가성비 좋고 다 좋은데 웃풍이 살짝 있어요,20221208
