hotel,star,review,date,real_date
전주 산정동 스테이 호텔,5,"진짜 너무 친절하시고, 방도 너무 좋고 다음에 전주가면 꼭꼭 여기 또 갈거에요!! 사모님 저 냄비 총각이에요 너무너무 감사드렸습니다!!ㅎㅎㅎㅎ",2022.09.17,2022.09.17
전주 산정동 스테이 호텔,5,"무인텔을 깔끔하게 잘 꾸며놓은거같더라고요급하게 잡은 방인데 너무 마음에 들었어요1,2층 화장실 따로있는것도 센스 👍아이와 같이간다고하니 침구류 여유분도 주시고 사장님 너무 착하셨어요",2022.06.02,2022.06.02
전주 산정동 스테이 호텔,5,대ㅡ만족!! 전주놀러가면 앞으로 여기올듯해요!지인들한테도 추천할거에요! 화장실도 두개 티비 에어컨도 위아래 다있구냉장고도 위아래 다있어요! 깨끗하기도하구요!스파기계도만족했구 안마의자도 대만족!침대두 뽀송뽀송 넷플릭스두 즐기구좋았어요!드라이브인이라서 편하기두 했구요!!!!!!잘놀다가요!!!!!!♥♥더보기,2022.06.02,2022.06.02
전주 산정동 스테이 호텔,5,전주 연박 사용 너무 좋아요,6일 전,2023. 06. 01
전주 산정동 스테이 호텔,3,그저 그러네요.... ㅠㅠ,2023.05.26,2023.05.26
전주 산정동 스테이 호텔,4,잘쉬고 갑니다,2023.05.22,2023.05.22
전주 산정동 스테이 호텔,5,전주 전주 산정동 엄청 좋아요,2023.05.07,2023.05.07
전주 산정동 스테이 호텔,5,좋아요~~~,2023.05.07,2023.05.07
전주 산정동 스테이 호텔,3,객실안에 냄새가 너무 많이났어요~!!ㅠ.ㅠ,2023.05.04,2023.05.04
전주 산정동 스테이 호텔,5,사장님 너무 친절하시고 숙소 시설도 좋았어요,2023.05.02,2023.05.02
전주 산정동 스테이 호텔,5,사장님이 너무너무 친절하셨어요!!,2023.04.27,2023.04.27
전주 산정동 스테이 호텔,5,최고에요 복층이라 울림이 있어요,2023.04.10,2023.04.10
전주 산정동 스테이 호텔,5,놀러와서 잘 묵었습니다 친절하세요 근데 좀 방 사용법? 생소하네요,2023.04.06,2023.04.06
전주 산정동 스테이 호텔,5,욕조 문좀 만들어주세요 .,2023.04.03,2023.04.03
전주 산정동 스테이 호텔,5,잘 쉬다 갑니다,2023.03.25,2023.03.25
전주 산정동 스테이 호텔,5,월풀도 좋고 깔끔하고 딱좋았어요!! 감사합니다,2023.02.27,2023.02.27
전주 산정동 스테이 호텔,4,방음 이 살짝안되긴하네여,2023.02.05,2023.02.05
전주 산정동 스테이 호텔,4,좋아요..복층에 화장실두개,2023.01.29,2023.01.29
전주 산정동 스테이 호텔,5,복층인데 위에도 화장실이 있어서 편했어요,2023.01.28,2023.01.28
전주 산정동 스테이 호텔,5,진짜 나만 알고싶은 숙소,2023.01.25,2023.01.25
전주 산정동 스테이 호텔,5,다시 방문하고 싶음,2023.01.22,2023.01.22
전주 산정동 스테이 호텔,5,다시오고싶음,2023.01.22,2023.01.22
전주 산정동 스테이 호텔,2,무인이라 편하긴 했지만 너~~~무 추워요. 웃풍이 장난 아니고 난방도 잘 안됩니다,2023.01.04,2023.01.04
전주 산정동 스테이 호텔,5,엄청 친절하셨여요,2022.12.27,2022.12.27
전주 산정동 스테이 호텔,5,2층으로 되어있고 대형욕조에 안마의자까지 있어서 편리했습니다,2022.12.26,2022.12.26
전주 산정동 스테이 호텔,5,완전 만족 근데 입실 퇴실 방법이 조금 어려워요 ㅠ,2022.12.26,2022.12.26
전주 산정동 스테이 호텔,5,전반적으로 만족요,2022.12.07,2022.12.07
전주 산정동 스테이 호텔,5,너무편하게있다가갑니다,2022.11.21,2022.11.21
전주 산정동 스테이 호텔,4,다 좋은데 ㅠㅠ 너무 추웠어요 ㅠㅠㅠㅠㅠ,2022.11.07,2022.11.07
전주 산정동 스테이 호텔,5,항상 숙소를 가면 돈 아깝단 생각밖에 안 들었는데 무인텔임에도 처음으로 너무 맘에 든 숙소였어요 사모님도 전화 바로 받아서 친절히 응대해주시고 용품도 빠지는 거 없이 센스있게 다 있어서 넘 좋았습니당 다만 복층이다보니 주변 소음(다른 방 계단 오르내리는 소리) 이런게 조금 울리는 것 빼곤 완벽한 숙소에용!! 다음에 전주오면 또 올 듯해요 잘 쉬다 갑니다 ~,2022.11.06,2022.11.06
전주 산정동 스테이 호텔,5,깔끔합니다,2022.10.23,2022.10.23
전주 산정동 스테이 호텔,5,잘 지내다가 갑니다 . 1박하기에 아쉬운곳 ㅋ 담에 또오겠습니다.,2022.10.16,2022.10.16
전주 산정동 스테이 호텔,4,좋아요  깔끔하구  조용하구 또  오고 싶어요~~,2022.10.04,2022.10.04
전주 산정동 스테이 호텔,5,예쁘고 깔끔했어용사진만큼은아니지만청결하고 고급스러워요,2022.10.03,2022.10.03
전주 산정동 스테이 호텔,4,좋아좋아요,2022.09.28,2022.09.28
전주 산정동 스테이 호텔,5,자주가서그런지 늘사장님은 친절하셔요 감사합니다 잘있다가요ㅎㅎ 방 도깨끗하고 컴퓨터 역시 거서살고싶을정도록좋음 ㅎ,2022.09.16,2022.09.16
전주 산정동 스테이 호텔,5,항상 올때마다 연박~!,2022.09.15,2022.09.15
전주 산정동 스테이 호텔,5,항상 올때마다 잘쉬고갑니다 ㅎㅎ,2022.09.15,2022.09.15
전주 산정동 스테이 호텔,5,키보드에 살짝 먼지가 많았던거 빼고 완벽했습니다,2022.09.09,2022.09.09
전주 산정동 스테이 호텔,4,다좋았어요오,2022.08.29,2022.08.29
전주 산정동 스테이 호텔,5,좋아요!!! 이 가격에 이 곳이면 진짜 최고,2022.08.18,2022.08.18
전주 산정동 스테이 호텔,5,잘쉬다갑니다,2022.08.15,2022.08.15
전주 산정동 스테이 호텔,4,시설이랑 다좋고 만족했는데 담배냄새가 너무 안빠져 있어서 아쉬웠습니다 그거 빼곤 다 좋았어요,2022.08.14,2022.08.14
전주 산정동 스테이 호텔,5,좋았습니다,2022.08.13,2022.08.13
전주 산정동 스테이 호텔,5,다좋았는데 청결은 그다지..ㅋㅋㅋ 최소한 전에 사용했던 쓰레기정도는 치워주세요ㅜㅜ,2022.08.12,2022.08.12
전주 산정동 스테이 호텔,5,짱이었어요^^,2022.08.06,2022.08.06
전주 산정동 스테이 호텔,5,좋았고 잘썻습니당,2022.08.02,2022.08.02
전주 산정동 스테이 호텔,5,잘 쉬다 갑니다!!,2022.07.11,2022.07.11
전주 산정동 스테이 호텔,5,마음에들어요,2022.07.07,2022.07.07
전주 산정동 스테이 호텔,5,주인아주머니 완전 친절..조금 좁긴하지만 나름대로 강츄,2022.06.27,2022.06.27
전주 산정동 스테이 호텔,5,생각보다 좁았지만 친절하시고 깨끗해서 좋았습니다,2022.06.14,2022.06.14
전주 산정동 스테이 호텔,5,OOOOO,2022.06.12,2022.06.12
전주 산정동 스테이 호텔,5,숙박대전 덕에 저렴한가격에 최고의 시설 이엇네요 ㅎ잘 쉬다 갑니다 ~,2022.06.11,2022.06.11
전주 산정동 스테이 호텔,5,좋았어요.,2022.06.07,2022.06.07
전주 산정동 스테이 호텔,5,좋았습니다!,2022.06.04,2022.06.04
전주 산정동 스테이 호텔,5,좋았습니다,2022.06.04,2022.06.04
전주 산정동 스테이 호텔,5,짱좋았어요 ㅎㅎㅎ,2022.06.03,2022.06.03
전주 산정동 스테이 호텔,3,다른 호텔과 차별성이 있는것 같아 신선했습니다.,2022.05.22,2022.05.22
전주 산정동 스테이 호텔,5,즐거운 시간 보내고 왔습니다.,2022.05.08,2022.05.08
전주 산정동 스테이 호텔,5,3박4일 동안 너무 편하고 즐거운 시간 보내고 갑니다ㅎㅎ,2022.05.08,2022.05.08
