hotel,star,review,date
전주 우아동 호텔 캐슬,8.6,방이 넓고 주차장도 넓어서 좋았습니다. 다만 시설 자체는 좀 오래된 감이 있습니다. 욕실과 화장실이 분리된 구조인데 욕실에 비해 화장실이 다소 좁은 편이었습니다. 그래도 이 가격에 이 정도면 충분히 만족합니다.,1개월 전
전주 우아동 호텔 캐슬,6.0,가격 값 해요ㅎ 편하고 주변에 먹거리와 편의점 많고 참~ 욕조도 있어서 반신욕 하기 좋았어요~ 근데 객실 청소하실 때 담배냄새는 신경좀 쓰셔야겠어요. 창문을 여섯시간이나 열어놔도 안빠져서 다음날까지 머리가 지끈지끈거리더라구요..,2개월 전
전주 우아동 호텔 캐슬,10.0,가성비 나쁘지않음..잘쉬었다왔습니다,3개월 전
전주 우아동 호텔 캐슬,6.0,모 가격대비 그닥 좋지는 않은 거 같습니다.방은 추운 편이고 시설도 좀 낡아서 그런지 싸늘한 분위기이고..대략적으로다가 쏘쏘한 편이네요.그래도 침대와 이불은 좀 깨끗한 편입니다.,3개월 전
전주 우아동 호텔 캐슬,10.0,우풍이 너무 심하구요먼지가 너무 많이있네요,5개월 전
전주 우아동 호텔 캐슬,10.0,한 번 씩 가끔가다 방문하는 숙소에요~~~~~~사장님께선 올때마다~~~~친절하시고하지만 방이 너무 추웠어요 ㅠㅠㅠ외창이 단창으로 되어있어 외풍이 들어왔지만 이불속에서 전기장판 이빠이틀고~자고갑니다~~~넷플릭스 잘~~보다가요~~,5개월 전
전주 우아동 호텔 캐슬,6.0,방에서 담배냄새가 남와이파이 비번이 다름다른 곳에 비해 이렇다할 장점은 없음그저그럼,8개월 전
전주 우아동 호텔 캐슬,4.0,바....퀴.....벌....레................,8개월 전
전주 우아동 호텔 캐슬,10.0,좋아요 친절하시고 좋습니다시설도 깨끗하고 주차장도  좋아요정말 잘 이용하고갑니다주변에 놀때 먹을때 많아서 더 좋아요 ^^좋아요  정말 좋아요 ^^좋아요 친절하시고 좋습니다,9개월 전
전주 우아동 호텔 캐슬,10.0,"매주 토요일마다 꼭 잡니당 ㅎㅎ,,매번 가던 곳이라 편하고 화장실도 넓고방도 깨끗하고 여기만 찾게 되네용!사장님두 엄청 친절하시구 좋아요여기 안 와보셨으면 꼭 여기 한번 가보세용 〰️😎",10개월 전
전주 우아동 호텔 캐슬,8.0,"처음 간 곳이였어요 주차장은 생각보다 크지는 않았고, 사장님은 친절했어요! 1층에는 간단한 간식들도 있어서 좋았어요! 방 안에 종이컵이 없어서 1층에 다시 다녀온게 조금 흠이였어요..그리고 방안은 따뜻했지만 바닥은 열선은 없습니다. 그리고 특이하게 화장실이 목욕탕 느낌이 들었어요 때밀이?하는 그게 있더라고요 그래서 좀 재밌기는 했습니다. 청결은 싼 맛에 간 곳이라 기대는ㄴㄴ하는게 좋습니다 그렇다고 더럽지는 않아요!!하루 정도는 괜찮은 곳 입니다!!",1년 전
전주 우아동 호텔 캐슬,10.0,출장때문에 몇번 이용햇는데 괜찮습니다가성비에 괜찮은 숙소구요 청결이나 시설도 무난하고 사장님도 친절하시고 커피머신도 준비되어잇고 주변에 식당이나 편의점도 가까워서 이용하기 편리해요 잘쉬다갑니다~,1년 전
전주 우아동 호텔 캐슬,10.0,가격이저렴해서 기대안하고 갓는데 기대이상으로 만족 햇습니다 침구도 깨긋하고 욕실도 청결 햇고 방크기도 좁지 않앗구요 여러모로 괜찮앗고 잘 이용 햇습니다 출장때 이용햇는데 종종 이용하겟습니다~,1년 전
전주 우아동 호텔 캐슬,10.0,사장님도 친절하시구 방 내부도 깨끗합니다,1년 전
전주 우아동 호텔 캐슬,10.0,외관은 오래된 느낌이 있는데 막상 들어가보니 내부는 깔끔하고 시설들 괜찮고 넓고 좋네요 스피커까지 제대로 마련돼 있어서 늦은 시간까지 티비 재밌게 봤네요ㅎㅎ 다음에 또 올게요~~~,1년 전
전주 우아동 호텔 캐슬,10.0,좋아여~~좋아여~~,1년 전
전주 우아동 호텔 캐슬,9.3,저렴한 가격에 이용 했어요 사장님이 친절하세요 다만 에어컨이 덜 시원해요,1년 전
전주 우아동 호텔 캐슬,10.0,전주 여행가면서 전주역근쳐 숙소를 어플로 검색해서 주말이라 가격 저렴한곳을 찾아 예약을 햇는데 카운터 사장님도 친절하시고 방도 깔끔하고 난방도 따뜻 물도 잘 나와서 잘 쉬다 왓어요 앞으로 전주갈때마다 이용할거 같아요번창 하세요 ^^,2년 전
전주 우아동 호텔 캐슬,10.0,나름 깨끗하네요~ 싸게 잘쉬다갑니다.,2년 전
전주 우아동 호텔 캐슬,10.0,좋네요깔끔하니ㅎㅎㅎ,2년 전
전주 우아동 호텔 캐슬,10.0,가성비갑~!!! 사장님 너무친절하시고좋은방주셨어요 잘쉬다갑니다~~,2년 전
전주 우아동 호텔 캐슬,4.0,흠...  재이용은 안할꺼 같아요.사장님은 친절하신데...시설이 너무 그닥이네요. 오래된 에어컨ㅜ,2년 전
전주 우아동 호텔 캐슬,8.3,"가격,청결 기본이상은 합니다.",2년 전
전주 우아동 호텔 캐슬,10.0,저렴하게이용잘했습니다,2년 전
전주 우아동 호텔 캐슬,10.0,매우좋습니다 잘드쉬다갑니다,2년 전
전주 우아동 호텔 캐슬,10.0,나쁘디 않게 잘 사용하다 갑니다 감사해요,2년 전
전주 우아동 호텔 캐슬,5.6,그럭저럭 하룻밤자긴 괜찮아요,3년 전
전주 우아동 호텔 캐슬,10.0,화장실 짱짱커요 컴터도 그럭저럭 좋았어요 가성비굿,3년 전
전주 우아동 호텔 캐슬,10.0,따뜻하고 편하게이용했습니다,3년 전
전주 우아동 호텔 캐슬,10.0,시설..청결..넘..좋아요..재구매..만족,3년 전
전주 우아동 호텔 캐슬,10.0,가성비 좋고 크고 깨끗합니다,3년 전
